year,airline_name,seat_supply,flight_count,passenger_count,cargo_ton,load_factor_proxy,passengers_per_flight,passenger_growth_rate,flight_growth_rate,seat_supply_growth_rate,is_lcc
2022,중국남방항공(CSN),53250.0,474.0,30058.0,2456.0,0.5645,63.41,,,,False
2023,중국남방항공(CSN),1325620.0,7200.0,933457.0,18670.0,0.7042,129.65,3005.52,1418.99,2389.43,False
2024,중국남방항공(CSN),2137142.0,12230.0,1642955.0,30072.0,0.7688,134.34,76.01,69.86,61.22,False
2025,중국남방항공(CSN),2107058.0,11906.0,1777532.0,31681.0,0.8436,149.3,8.19,-2.65,-1.41,False
2026,중국남방항공(CSN),1791308.0,9348.0,1498859.0,33141.0,0.8367,160.34,-15.68,-21.48,-14.99,False
2022,중국동방항공(CES),55994.0,1220.0,36847.0,14445.0,0.6581,30.2,,,,False
2023,중국동방항공(CES),1661634.0,9025.0,1089053.0,28304.0,0.6554,120.67,2855.61,639.75,2867.52,False
2024,중국동방항공(CES),2867934.0,16456.0,2190478.0,49085.0,0.7638,133.11,101.14,82.34,72.6,False
2025,중국동방항공(CES),3120290.0,17301.0,2612704.0,58028.0,0.8373,151.01,19.28,5.13,8.8,False
2026,중국동방항공(CES),2318259.0,12232.0,2051278.0,44365.0,0.8848,167.7,-21.49,-29.3,-25.7,False
2024,중국동하이항공(EPA),7160.0,42.0,3150.0,28.0,0.4399,75.0,,,,False
2022,중국순풍항공(CSS),0.0,158.0,0.0,2199.0,0.0,0.0,,,,False
2023,중국순풍항공(CSS),0.0,48.0,0.0,902.0,0.0,0.0,,-69.62,,False
2024,중국순풍항공(CSS),0.0,163.0,0.0,1577.0,0.0,0.0,,239.58,,False
2025,중국순풍항공(CSS),0.0,927.0,0.0,12083.0,0.0,0.0,,468.71,,False
2026,중국순풍항공(CSS),0.0,661.0,0.0,9217.0,0.0,0.0,,-28.69,,False
2022,중국심천항공(CSZ),24438.0,106.0,17580.0,596.0,0.7194,165.85,,,,False
2023,중국심천항공(CSZ),159130.0,950.0,110631.0,2685.0,0.6952,116.45,529.3,796.23,551.16,False
